REGIAO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
LA - Lapa;0,0;0,0;5,5;6,0;0,0;0,0;0,0;21,9;8,0;33,6;2,0;50,6;9,8;0,0;0,0;0,0;1,0;8,9;1,5;11,0;17,8;0,7;24,4;0,4;0,3;0,7;5,3;15,5;0,0;0,0;8,5;233,4
PI - Pinheiros;0,0;0,0;1,5;11,8;0,0;0,0;0,0;29,2;11,0;50,8;1,6;60,7;12,0;0,0;0,0;0,0;2,1;12,5;9,6;17,5;18,5;1,2;27,6;0,2;0,7;1,1;6,5;20,3;0,0;0,0;4,6;301,0
MB - M Boi Mirim;0,0;0,0;0,6;5,7;2,9;0,4;0,0;1,9;10,2;23,5;5,0;91,6;20,4;0,0;0,0;0,0;12,4;15,2;4,0;24,3;13,0;2,4;21,9;0,3;1,9;0,9;3,0;7,2;0,0;0,0;15,3;284,0
CL - Campo Limpo;0,0;0,0;1,5;4,7;0,4;0,0;0,0;1,5;5,5;28,5;5,6;63,2;8,0;0,0;0,0;0,0;8,6;8,6;4,2;19,1;20,7;1,5;23,1;0,2;1,2;0,6;4,5;12,4;0,0;0,0;5,5;229,1
CS - Capela do Socorro;0,0;0,0;1,6;18,6;0,5;0,3;0,0;2,0;0,4;15,3;9,9;121,4;27,0;0,0;0,0;0,0;7,4;10,6;17,8;31,3;13,4;3,3;21,5;1,1;2,8;2,4;3,1;7,2;0,0;0,0;17,3;336,2
IP - Ipiranga;0,0;0,0;0,7;16,0;0,1;0,0;0,0;15,4;11,2;20,4;1,2;53,7;8,9;0,0;0,0;0,0;6,6;0,5;49,5;17,6;12,9;0,8;19,6;0,4;0,7;1,4;14,5;14,3;0,0;0,0;26,6;293,0
JA - Jabaquara;0,0;0,0;0,4;16,8;0,1;0,0;0,0;27,8;10,6;47,6;3,3;71,2;19,3;0,0;0,0;0,0;6,5;0,1;40,6;23,6;14,1;1,2;23,5;0,3;1,0;2,3;14,1;27,6;0,0;0,0;24,9;376,9
SA - Santo Amaro;0,0;0,0;1,7;12,8;1,0;0,0;0,0;10,8;4,1;61,1;7,6;71,7;18,2;0,0;0,0;0,0;5,7;2,4;16,4;21,0;12,4;2,0;22,7;0,3;1,2;1,6;8,8;16,6;0,0;0,0;12,6;312,7
VM - Vila Mariana;0,0;0,0;0,3;17,2;0,0;0,0;0,0;30,5;19,7;52,1;1,3;64,0;10,2;0,0;0,0;0,0;6,6;3,2;33,0;21,7;16,0;1,2;25,6;0,2;0,7;1,3;13,2;21,7;0,0;0,0;11,7;351,4
PA - Parelheiros ;0,0;0,0;3,8;29,2;4,1;1,7;0,0;8,6;0,8;4,0;16,0;109,9;23,9;0,1;0,0;0,0;2,5;7,9;26,6;37,1;21,6;7,1;27,6;6,5;13,4;3,9;1,0;2,5;0,2;0,0;16,0;376,0
AD - Cidade Ademar;0,0;0,0;0,9;19,2;0,3;0,1;0,0;11,4;1,7;33,6;9,4;86,3;27,3;0,2;0,0;0,0;7,2;3,0;20,3;22,5;11,0;2,6;21,1;0,5;1,6;2,4;9,8;19,3;0,0;0,0;30,0;341,7
